team_code,elo,elo_source
MEX,1800,host_estimate
RSA,1620,estimate
KOR,1790,elo_jan2026
CZE,1790,estimate
CAN,1750,host_estimate
BIH,1720,estimate
QAT,1650,estimate
SUI,1897,elo_jan2026
BRA,1979,elo_jan2026
MAR,1840,estimate
HAI,1480,estimate
SCO,1790,estimate
USA,1770,host_estimate
PAR,1720,estimate
AUS,1720,estimate
TUR,1880,elo_jan2026
GER,1910,elo_jan2026
CUW,1450,estimate
CIV,1750,estimate
ECU,1933,elo_jan2026
NED,1959,elo_jan2026
JPN,1879,elo_jan2026
SWE,1800,estimate
TUN,1690,estimate
BEL,1849,elo_jan2026
EGY,1750,estimate
IRN,1800,estimate
NZL,1500,estimate
ESP,2171,elo_jan2026
CPV,1560,estimate
KSA,1640,estimate
URU,1890,elo_jan2026
FRA,2063,elo_jan2026
SEN,1869,elo_jan2026
IRQ,1500,estimate
NOR,1922,elo_jan2026
ARG,2113,elo_jan2026
ALG,1780,estimate
AUT,1810,estimate
JOR,1620,estimate
POR,1976,elo_jan2026
COD,1650,estimate
UZB,1680,estimate
COL,1998,elo_jan2026
ENG,2042,elo_jan2026
CRO,1933,elo_jan2026
GHA,1700,estimate
PAN,1680,estimate
